f1_score;pct;params;features;cv_scorer
0.5613;1.0;{'model__max_depth': 5.0, 'model__max_features': 7};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5074;0.9;{'model__max_depth': 9.0, 'model__max_features': 5};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.5236;0.8;{'model__max_depth': 7.0, 'model__max_features': 3};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.4991;0.7;{'model__max_depth': 8.0, 'model__max_features': 8};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.4830;0.6;{'model__max_depth': 4.0, 'model__max_features': 4};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'hubs', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.4853;0.5;{'model__max_depth': 6.0, 'model__max_features': 2};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.4857;0.4;{'model__max_depth': 9.0, 'model__max_features': 1};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender'];f1_macro
0.4674;0.3;{'model__max_depth': 3.0, 'model__max_features': 1};['betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender'];f1_macro
0.3853;0.2;{'model__max_depth': 9.0, 'model__max_features': 1};['betweenness', 'eigenvector', 'pagerank'];f1_macro
0.3183;0.1;{'model__max_depth': 5.0, 'model__max_features': 1};['betweenness', 'eigenvector'];f1_macro
