f1_score;pct;params;features;cv_scorer
0.7922;1.0;{'model__max_depth': 3.0, 'model__max_features': 5, 'model__n_estimators': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7609;0.9;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7608;0.8;{'model__max_depth': 3.0, 'model__max_features': 5, 'model__n_estimators': 16};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7724;0.7;{'model__max_depth': 5.0, 'model__max_features': 5, 'model__n_estimators': 16};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7180;0.6;{'model__max_depth': 3.0, 'model__max_features': 8, 'model__n_estimators': 8};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7096;0.5;{'model__max_depth': 3.0, 'model__max_features': 3, 'model__n_estimators': 8};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7218;0.4;{'model__max_depth': 2.0, 'model__max_features': 3, 'model__n_estimators': 32};['betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.6812;0.3;{'model__max_depth': 7.0, 'model__max_features': 2, 'model__n_estimators': 1};['betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.6658;0.2;{'model__max_depth': 5.0, 'model__max_features': 2, 'model__n_estimators': 1};['eigenvector', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.4397;0.1;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 2};['eigenvector', 'work_at_weekend'];f1_macro
