f1_score;pct;params;features;cv_scorer
0.5451;1.0;{'model__max_depth': 2.0, 'model__max_features': 2, 'model__n_estimators': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5502;0.9;{'model__max_depth': 5.0, 'model__max_features': 1, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5835;0.8;{'model__max_depth': 10.0, 'model__max_features': 3, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5237;0.7;{'model__max_depth': 1.0, 'model__max_features': 5, 'model__n_estimators': 8};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5150;0.6;{'model__max_depth': 2.0, 'model__max_features': 2, 'model__n_estimators': 32};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4919;0.5;{'model__max_depth': 5.0, 'model__max_features': 2, 'model__n_estimators': 8};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.4846;0.4;{'model__max_depth': 2.0, 'model__max_features': 4, 'model__n_estimators': 1};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender'];f1_macro
0.5364;0.3;{'model__max_depth': 9.0, 'model__max_features': 1, 'model__n_estimators': 1};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend'];f1_macro
0.4244;0.2;{'model__max_depth': 4.0, 'model__max_features': 2, 'model__n_estimators': 100};['betweenness', 'eigenvector', 'work_at_weekend'];f1_macro
0.3562;0.1;{'model__max_depth': 6.0, 'model__max_features': 1, 'model__n_estimators': 1};['eigenvector', 'work_at_weekend'];f1_macro
