Sender;Recipient;EventDate;month;year
17;37;2010-01-02 17:40:10;1;2010
17;136;2010-01-02 17:40:10;1;2010
17;62;2010-01-02 17:40:10;1;2010
17;129;2010-01-02 17:40:10;1;2010
17;32;2010-01-02 17:40:10;1;2010
17;97;2010-01-02 17:40:10;1;2010
17;19;2010-01-02 17:40:10;1;2010
17;148;2010-01-02 17:40:10;1;2010
17;105;2010-01-02 17:40:10;1;2010
17;158;2010-01-02 17:40:10;1;2010
17;41;2010-01-02 17:40:10;1;2010
17;133;2010-01-02 17:40:10;1;2010
17;11;2010-01-02 17:40:10;1;2010
17;90;2010-01-02 17:40:10;1;2010
17;146;2010-01-02 17:40:10;1;2010
17;161;2010-01-02 17:40:10;1;2010
39;81;2010-01-04 05:38:46;1;2010
39;81;2010-01-04 05:39:35;1;2010
112;136;2010-01-04 06:08:09;1;2010
112;60;2010-01-04 06:10:29;1;2010
112;57;2010-01-04 06:11:28;1;2010
112;94;2010-01-04 06:11:56;1;2010
77;162;2010-01-04 06:35:08;1;2010
33;152;2010-01-04 06:35:43;1;2010
142;117;2010-01-04 06:36:40;1;2010
17;97;2010-01-04 06:38:34;1;2010
117;30;2010-01-04 06:42:13;1;2010
117;142;2010-01-04 06:43:58;1;2010
158;150;2010-01-04 06:48:05;1;2010
158;135;2010-01-04 06:48:05;1;2010
158;162;2010-01-04 06:48:05;1;2010
158;65;2010-01-04 06:48:05;1;2010
150;158;2010-01-04 06:48:33;1;2010
65;158;2010-01-04 06:49:10;1;2010
17;97;2010-01-04 06:53:19;1;2010
91;60;2010-01-04 06:54:14;1;2010
73;136;2010-01-04 06:55:15;1;2010
66;89;2010-01-04 06:55:21;1;2010
162;158;2010-01-04 06:58:41;1;2010
162;77;2010-01-04 06:59:00;1;2010
94;60;2010-01-04 07:00:13;1;2010
66;130;2010-01-04 07:01:48;1;2010
143;60;2010-01-04 07:01:53;1;2010
133;136;2010-01-04 07:02:33;1;2010
133;141;2010-01-04 07:02:33;1;2010
133;19;2010-01-04 07:02:33;1;2010
133;73;2010-01-04 07:02:33;1;2010
133;144;2010-01-04 07:02:33;1;2010
133;62;2010-01-04 07:02:33;1;2010
47;82;2010-01-04 07:04:36;1;2010
47;82;2010-01-04 07:04:38;1;2010
47;82;2010-01-04 07:04:46;1;2010
47;82;2010-01-04 07:04:48;1;2010
47;78;2010-01-04 07:06:36;1;2010
33;45;2010-01-04 07:08:12;1;2010
108;60;2010-01-04 07:09:49;1;2010
47;136;2010-01-04 07:10:53;1;2010
146;17;2010-01-04 07:11:48;1;2010
146;17;2010-01-04 07:12:25;1;2010
132;102;2010-01-04 07:12:47;1;2010
146;19;2010-01-04 07:12:58;1;2010
132;102;2010-01-04 07:13:20;1;2010
146;19;2010-01-04 07:13:30;1;2010
44;47;2010-01-04 07:14:08;1;2010
33;60;2010-01-04 07:14:25;1;2010
44;60;2010-01-04 07:14:30;1;2010
33;135;2010-01-04 07:14:38;1;2010
117;57;2010-01-04 07:14:48;1;2010
136;19;2010-01-04 07:15:14;1;2010
136;133;2010-01-04 07:15:14;1;2010
136;166;2010-01-04 07:15:14;1;2010
136;73;2010-01-04 07:15:14;1;2010
136;123;2010-01-04 07:15:14;1;2010
136;84;2010-01-04 07:15:14;1;2010
136;39;2010-01-04 07:15:14;1;2010
136;107;2010-01-04 07:15:14;1;2010
136;112;2010-01-04 07:15:14;1;2010
166;136;2010-01-04 07:16:20;1;2010
108;17;2010-01-04 07:17:01;1;2010
35;161;2010-01-04 07:17:07;1;2010
136;166;2010-01-04 07:17:11;1;2010
17;108;2010-01-04 07:18:09;1;2010
116;83;2010-01-04 07:18:25;1;2010
116;166;2010-01-04 07:19:24;1;2010
19;136;2010-01-04 07:20:31;1;2010
133;136;2010-01-04 07:21:17;1;2010
152;47;2010-01-04 07:21:43;1;2010
81;95;2010-01-04 07:22:10;1;2010
47;152;2010-01-04 07:22:23;1;2010
81;64;2010-01-04 07:23:00;1;2010
81;166;2010-01-04 07:23:08;1;2010
116;94;2010-01-04 07:23:47;1;2010
81;60;2010-01-04 07:25:22;1;2010
81;94;2010-01-04 07:25:22;1;2010
