Sender;Recipient;EventDate;month
17;37;2010-01-02 17:40:10;1
17;136;2010-01-02 17:40:10;1
17;62;2010-01-02 17:40:10;1
17;129;2010-01-02 17:40:10;1
17;32;2010-01-02 17:40:10;1
17;97;2010-01-02 17:40:10;1
17;19;2010-01-02 17:40:10;1
17;148;2010-01-02 17:40:10;1
17;105;2010-01-02 17:40:10;1
17;158;2010-01-02 17:40:10;1
17;41;2010-01-02 17:40:10;1
17;133;2010-01-02 17:40:10;1
17;11;2010-01-02 17:40:10;1
17;90;2010-01-02 17:40:10;1
17;146;2010-01-02 17:40:10;1
17;161;2010-01-02 17:40:10;1
39;81;2010-01-04 05:38:46;1
39;81;2010-01-04 05:39:35;1
112;136;2010-01-04 06:08:09;1
112;60;2010-01-04 06:10:29;1
112;57;2010-01-04 06:11:28;1
112;94;2010-01-04 06:11:56;1
77;162;2010-01-04 06:35:08;1
33;152;2010-01-04 06:35:43;1
142;117;2010-01-04 06:36:40;1
17;97;2010-01-04 06:38:34;1
117;30;2010-01-04 06:42:13;1
117;142;2010-01-04 06:43:58;1
158;150;2010-01-04 06:48:05;1
158;135;2010-01-04 06:48:05;1
158;162;2010-01-04 06:48:05;1
158;65;2010-01-04 06:48:05;1
150;158;2010-01-04 06:48:33;1
65;158;2010-01-04 06:49:10;1
17;97;2010-01-04 06:53:19;1
91;60;2010-01-04 06:54:14;1
73;136;2010-01-04 06:55:15;1
66;89;2010-01-04 06:55:21;1
162;158;2010-01-04 06:58:41;1
162;77;2010-01-04 06:59:00;1
94;60;2010-01-04 07:00:13;1
66;130;2010-01-04 07:01:48;1
143;60;2010-01-04 07:01:53;1
133;136;2010-01-04 07:02:33;1
133;141;2010-01-04 07:02:33;1
133;19;2010-01-04 07:02:33;1
133;73;2010-01-04 07:02:33;1
133;144;2010-01-04 07:02:33;1
133;62;2010-01-04 07:02:33;1
47;82;2010-01-04 07:04:36;1
47;82;2010-01-04 07:04:38;1
47;82;2010-01-04 07:04:46;1
47;82;2010-01-04 07:04:48;1
47;78;2010-01-04 07:06:36;1
33;45;2010-01-04 07:08:12;1
108;60;2010-01-04 07:09:49;1
47;136;2010-01-04 07:10:53;1
146;17;2010-01-04 07:11:48;1
146;17;2010-01-04 07:12:25;1
132;102;2010-01-04 07:12:47;1
146;19;2010-01-04 07:12:58;1
132;102;2010-01-04 07:13:20;1
146;19;2010-01-04 07:13:30;1
44;47;2010-01-04 07:14:08;1
33;60;2010-01-04 07:14:25;1
44;60;2010-01-04 07:14:30;1
33;135;2010-01-04 07:14:38;1
117;57;2010-01-04 07:14:48;1
136;19;2010-01-04 07:15:14;1
136;133;2010-01-04 07:15:14;1
136;166;2010-01-04 07:15:14;1
136;73;2010-01-04 07:15:14;1
136;123;2010-01-04 07:15:14;1
136;84;2010-01-04 07:15:14;1
136;39;2010-01-04 07:15:14;1
136;107;2010-01-04 07:15:14;1
136;112;2010-01-04 07:15:14;1
166;136;2010-01-04 07:16:20;1
108;17;2010-01-04 07:17:01;1
35;161;2010-01-04 07:17:07;1
136;166;2010-01-04 07:17:11;1
17;108;2010-01-04 07:18:09;1
116;83;2010-01-04 07:18:25;1
116;166;2010-01-04 07:19:24;1
19;136;2010-01-04 07:20:31;1
133;136;2010-01-04 07:21:17;1
152;47;2010-01-04 07:21:43;1
81;95;2010-01-04 07:22:10;1
47;152;2010-01-04 07:22:23;1
81;64;2010-01-04 07:23:00;1
81;166;2010-01-04 07:23:08;1
116;94;2010-01-04 07:23:47;1
81;60;2010-01-04 07:25:22;1
81;94;2010-01-04 07:25:22;1
118;37;2010-01-04 07:25:58;1
91;77;2010-01-04 07:26:02;1
143;152;2010-01-04 07:26:11;1
116;60;2010-01-04 07:26:26;1
77;91;2010-01-04 07:26:48;1
116;47;2010-01-04 07:27:17;1
73;136;2010-01-04 07:27:34;1
147;94;2010-01-04 07:34:37;1
118;37;2010-01-04 07:36:40;1
133;136;2010-01-04 07:37:46;1
39;136;2010-01-04 07:39:03;1
127;65;2010-01-04 07:40:20;1
127;94;2010-01-04 07:40:49;1
137;47;2010-01-04 07:42:12;1
137;126;2010-01-04 07:42:12;1
137;27;2010-01-04 07:42:12;1
133;136;2010-01-04 07:42:34;1
133;73;2010-01-04 07:42:34;1
133;62;2010-01-04 07:42:34;1
80;166;2010-01-04 07:43:10;1
80;94;2010-01-04 07:45:56;1
64;60;2010-01-04 07:48:46;1
136;69;2010-01-04 07:48:57;1
136;86;2010-01-04 07:48:57;1
136;19;2010-01-04 07:48:57;1
136;73;2010-01-04 07:48:57;1
136;36;2010-01-04 07:48:57;1
136;85;2010-01-04 07:48:57;1
136;161;2010-01-04 07:48:57;1
55;60;2010-01-04 07:50:10;1
162;77;2010-01-04 07:52:57;1
105;97;2010-01-04 07:53:51;1
129;18;2010-01-04 07:53:56;1
129;163;2010-01-04 07:53:56;1
129;110;2010-01-04 07:53:56;1
129;14;2010-01-04 07:53:56;1
129;158;2010-01-04 07:53:56;1
135;158;2010-01-04 07:54:00;1
105;60;2010-01-04 07:54:02;1
77;162;2010-01-04 07:54:27;1
62;133;2010-01-04 07:56:41;1
62;136;2010-01-04 07:56:41;1
123;136;2010-01-04 07:56:42;1
69;152;2010-01-04 07:56:52;1
90;152;2010-01-04 07:58:16;1
97;105;2010-01-04 08:01:25;1
97;17;2010-01-04 08:03:03;1
166;54;2010-01-04 08:04:02;1
133;90;2010-01-04 08:04:07;1
133;141;2010-01-04 08:04:07;1
54;166;2010-01-04 08:05:00;1
54;166;2010-01-04 08:05:19;1
137;90;2010-01-04 08:06:30;1
137;136;2010-01-04 08:06:30;1
137;112;2010-01-04 08:06:30;1
137;19;2010-01-04 08:06:30;1
137;65;2010-01-04 08:06:30;1
137;73;2010-01-04 08:06:30;1
158;129;2010-01-04 08:06:45;1
69;136;2010-01-04 08:07:27;1
137;136;2010-01-04 08:07:41;1
137;90;2010-01-04 08:07:41;1
137;112;2010-01-04 08:07:41;1
137;19;2010-01-04 08:07:41;1
137;65;2010-01-04 08:07:41;1
137;73;2010-01-04 08:07:41;1
90;137;2010-01-04 08:07:45;1
137;136;2010-01-04 08:08:03;1
137;90;2010-01-04 08:08:03;1
137;112;2010-01-04 08:08:03;1
137;19;2010-01-04 08:08:03;1
137;65;2010-01-04 08:08:03;1
137;73;2010-01-04 08:08:03;1
90;137;2010-01-04 08:08:11;1
19;137;2010-01-04 08:08:37;1
19;137;2010-01-04 08:08:39;1
137;136;2010-01-04 08:08:53;1
137;90;2010-01-04 08:08:53;1
137;112;2010-01-04 08:08:53;1
137;19;2010-01-04 08:08:53;1
137;65;2010-01-04 08:08:53;1
137;73;2010-01-04 08:08:53;1
136;137;2010-01-04 08:09:36;1
136;137;2010-01-04 08:09:37;1
73;137;2010-01-04 08:09:37;1
73;137;2010-01-04 08:09:38;1
137;136;2010-01-04 08:09:41;1
137;112;2010-01-04 08:09:41;1
137;19;2010-01-04 08:09:41;1
137;65;2010-01-04 08:09:41;1
137;73;2010-01-04 08:09:41;1
137;90;2010-01-04 08:09:41;1
90;137;2010-01-04 08:09:49;1
19;137;2010-01-04 08:10:06;1
73;137;2010-01-04 08:10:38;1
136;137;2010-01-04 08:11:04;1
73;137;2010-01-04 08:11:38;1
136;137;2010-01-04 08:12:25;1
62;146;2010-01-04 08:12:30;1
90;127;2010-01-04 08:15:19;1
90;41;2010-01-04 08:15:19;1
30;135;2010-01-04 08:16:03;1
17;108;2010-01-04 08:16:31;1
90;137;2010-01-04 08:17:01;1
128;81;2010-01-04 08:20:04;1
136;137;2010-01-04 08:20:54;1
127;90;2010-01-04 08:21:14;1
32;97;2010-01-04 08:21:31;1
32;17;2010-01-04 08:21:31;1
32;97;2010-01-04 08:22:04;1
32;17;2010-01-04 08:22:04;1
14;129;2010-01-04 08:22:12;1
86;136;2010-01-04 08:24:25;1
153;152;2010-01-04 08:25:36;1
167;94;2010-01-04 08:29:03;1
152;153;2010-01-04 08:30:03;1
113;82;2010-01-04 08:31:05;1
113;82;2010-01-04 08:31:09;1
36;102;2010-01-04 08:31:15;1
113;82;2010-01-04 08:31:29;1
113;82;2010-01-04 08:31:32;1
113;121;2010-01-04 08:31:37;1
135;90;2010-01-04 08:32:00;1
90;135;2010-01-04 08:32:58;1
65;137;2010-01-04 08:33:50;1
65;137;2010-01-04 08:33:52;1
65;137;2010-01-04 08:33:54;1
136;3;2010-01-04 08:34:47;1
136;166;2010-01-04 08:34:47;1
136;152;2010-01-04 08:34:47;1
166;132;2010-01-04 08:36:01;1
112;137;2010-01-04 08:38:25;1
112;137;2010-01-04 08:38:27;1
112;137;2010-01-04 08:38:29;1
36;152;2010-01-04 08:39:03;1
132;166;2010-01-04 08:39:25;1
84;136;2010-01-04 08:39:32;1
152;136;2010-01-04 08:41:49;1
73;136;2010-01-04 08:41:55;1
121;130;2010-01-04 08:42:01;1
73;137;2010-01-04 08:42:04;1
130;121;2010-01-04 08:42:53;1
166;36;2010-01-04 08:44:21;1
19;136;2010-01-04 08:44:53;1
36;166;2010-01-04 08:45:30;1
19;137;2010-01-04 08:46:59;1
58;60;2010-01-04 08:47:19;1
117;57;2010-01-04 08:49:21;1
33;162;2010-01-04 08:50:17;1
161;136;2010-01-04 08:50:34;1
33;77;2010-01-04 08:50:45;1
133;136;2010-01-04 08:50:50;1
133;19;2010-01-04 08:50:50;1
133;73;2010-01-04 08:50:50;1
133;141;2010-01-04 08:50:50;1
133;62;2010-01-04 08:50:50;1
161;83;2010-01-04 08:53:39;1
161;90;2010-01-04 08:53:39;1
161;35;2010-01-04 08:53:39;1
110;129;2010-01-04 08:54:32;1
19;133;2010-01-04 08:54:38;1
11;153;2010-01-04 08:55:25;1
35;161;2010-01-04 08:56:12;1
83;161;2010-01-04 09:00:06;1
36;14;2010-01-04 09:01:23;1
73;133;2010-01-04 09:03:40;1
36;102;2010-01-04 09:07:00;1
36;136;2010-01-04 09:07:24;1
17;110;2010-01-04 09:10:31;1
36;14;2010-01-04 09:11:34;1
110;17;2010-01-04 09:11:50;1
158;119;2010-01-04 09:14:27;1
110;17;2010-01-04 09:14:36;1
8;155;2010-01-04 09:15:31;1
8;47;2010-01-04 09:16:06;1
107;136;2010-01-04 09:16:23;1
85;103;2010-01-04 09:17:07;1
103;85;2010-01-04 09:17:07;1
8;47;2010-01-04 09:17:31;1
65;137;2010-01-04 09:17:37;1
36;155;2010-01-04 09:19:20;1
8;47;2010-01-04 09:21:50;1
65;90;2010-01-04 09:23:28;1
65;127;2010-01-04 09:23:28;1
65;90;2010-01-04 09:29:42;1
127;65;2010-01-04 09:30:15;1
41;90;2010-01-04 09:31:34;1
47;137;2010-01-04 09:33:27;1
150;60;2010-01-04 09:38:48;1
