ID;in_degree;out_degree;betweenness;closeness;eigenvector;clustering_coeff;pagerank;hubs;authorities;max_clique;cliques_count;overtime;work_at_weekend
17;0.8142857142857143;0.8857142857142857;0.2113052415210689;11.983898174834444;0.08727687726305003;0.0043473738836047725;0.01626411435217958;0.005754790471735261;0.03759651957531433;23;7031;916;16
37;0.4642857142857143;0.4714285714285714;0.01248715313463515;11.931296649706471;0.08773239159217731;0.006634299333852092;0.009912004652668149;0.004430492106709901;0.006704095124488474;22;1198;1;0
136;0.4714285714285714;0.45;0.027903391572456318;11.8965503011961;0.08765662642156452;0.014948133828282131;0.047089842690919405;0.007094298377730586;0.09633598957630947;23;1106;26;2
62;0.4357142857142857;0.45;0.04809866392600206;11.967686595632992;0.08755576884226778;0.007756727476076022;0.015422254493193815;0.013241129928338364;0.015090311537306087;23;745;66;17
129;0.35714285714285715;0.35714285714285715;0.004522096608427543;11.943179766762526;0.08775377562755751;0.007271562754190427;0.01227739644043553;0.003634142418800521;0.009227155694831127;21;690;4;0
32;0.2928571428571429;0.2928571428571429;0.0006680369989722507;11.905734852600045;0.08709792738478138;0.006396723259721923;0.004865764363915759;0.005475205095624069;0.005335895591619537;18;236;52;0
97;0.5214285714285715;0.5214285714285715;0.0017471736896197327;11.964058129699705;0.08754581823504955;0.005565985879077275;0.008121543010971533;0.006672516486740112;0.0073590705253794705;22;2135;1;0
19;0.4071428571428571;0.3642857142857143;0.006115107913669065;11.922162131443635;0.08767642960554753;0.00798718676940627;0.01251144996653826;0.02380664146951911;0.01181791321793892;23;666;0;0
148;0.4428571428571429;0.42857142857142855;0.008016443987667009;11.920507790502366;0.08773938757399673;0.008635765205475857;0.014051186405242158;0.0056143955207371395;0.011486432465158488;23;1667;0;0
105;0.42857142857142855;0.4;0.0;11.992991650672124;0.08720348003047365;0.00548233272470937;0.005021569628035095;0.004718196248583144;0.0040736767468857;21;850;1;0
158;0.17142857142857146;0.16428571428571428;0.0;11.880106270539342;0.08773406079760497;0.008642543350394959;0.0050870601382268215;0.005121032821607736;0.0018363544220480945;16;36;24;0
41;0.19285714285714284;0.17857142857142858;5.138746145940391e-05;11.904035715543788;0.0878730941091147;0.010693581497141785;0.008396054159728236;0.0049624911586955926;0.0035460475526398008;17;31;0;0
133;0.45;0.4357142857142857;0.02379239465570401;11.900781541810716;0.08775941107388653;0.008185280662603036;0.02741754241969714;0.012889584347457898;0.01923240768789629;23;972;200;21
11;0.4214285714285714;0.42857142857142855;0.05755395683453238;11.93471954370031;0.08779991074858302;0.007261719503565178;0.020962955353701015;0.00723194694558378;0.01260065583808356;22;1266;0;0
90;0.45;0.3928571428571429;0.012949640287769784;11.929630880279714;0.0878061740659096;0.01093746818957931;0.028040633045021846;0.004075428950086037;0.02024720284982644;22;1384;13;0
146;0.15;0.14285714285714285;0.0;11.914380749876372;0.0875855037899265;0.011094011172977454;0.003217865498200845;0.01093964270225622;0.0013580300665785407;15;13;23;0
161;0.25;0.22857142857142854;0.004162384378211715;11.915057491577842;0.08779824407754598;0.009861143884464631;0.011668865839792495;0.015099310463781997;0.005056937408274897;21;86;0;0
