f1_score;pct;utility_score;threshold;jaccard;minority_classes
0.0833;0.9;in_degree;2;0.7;[]
0.1000;0.9;out_degree;2;0.7;[]
0.4222;0.9;betweenness;2;0.7;[]
0.7487;0.9;closeness;2;0.7;[]
0.2929;0.9;eigenvector;2;0.7;[]
0.3905;0.9;clustering_coeff;2;0.7;[]
0.4127;0.9;pagerank;2;0.7;[]
0.3148;0.9;hubs;2;0.7;[]
0.4167;0.9;authorities;2;0.7;[]
0.3889;0.9;max_clique;2;0.7;[]
0.4167;0.9;cliques_count;2;0.7;[]
0.5000;0.9;overtime;2;0.7;[]
0.5037;0.9;work_at_weekend;2;0.7;[]
0.1667;0.9;neighborhood_variability_sender;2;0.7;[]
0.4040;0.9;neighborhood_variability_recipient;2;0.7;[]
0.5889;0.9;neighborhood_variability_all;2;0.7;[]
0.0833;0.9;in_degree;2;0.8;[]
0.1000;0.9;out_degree;2;0.8;[]
0.4222;0.9;betweenness;2;0.8;[]
0.7487;0.9;closeness;2;0.8;[]
0.2929;0.9;eigenvector;2;0.8;[]
0.3905;0.9;clustering_coeff;2;0.8;[]
0.4127;0.9;pagerank;2;0.8;[]
0.3148;0.9;hubs;2;0.8;[]
0.4167;0.9;authorities;2;0.8;[]
0.3889;0.9;max_clique;2;0.8;[]
0.4167;0.9;cliques_count;2;0.8;[]
0.5000;0.9;overtime;2;0.8;[]
0.5037;0.9;work_at_weekend;2;0.8;[]
0.1667;0.9;neighborhood_variability_sender;2;0.8;[]
0.4040;0.9;neighborhood_variability_recipient;2;0.8;[]
0.5889;0.9;neighborhood_variability_all;2;0.8;[]
0.0833;0.9;in_degree;2;0.9;[]
0.1000;0.9;out_degree;2;0.9;[]
0.4222;0.9;betweenness;2;0.9;[]
0.7487;0.9;closeness;2;0.9;[]
0.2929;0.9;eigenvector;2;0.9;[]
0.3905;0.9;clustering_coeff;2;0.9;[]
0.4127;0.9;pagerank;2;0.9;[]
0.3148;0.9;hubs;2;0.9;[]
0.4167;0.9;authorities;2;0.9;[]
0.2434;0.9;max_clique;2;0.9;[]
0.2593;0.9;cliques_count;2;0.9;[]
0.1944;0.9;overtime;2;0.9;[]
0.5037;0.9;work_at_weekend;2;0.9;[]
0.1667;0.9;neighborhood_variability_sender;2;0.9;[]
0.4040;0.9;neighborhood_variability_recipient;2;0.9;[]
0.5889;0.9;neighborhood_variability_all;2;0.9;[]
0.0833;0.9;in_degree;2;0.99;[]
0.1000;0.9;out_degree;2;0.99;[]
0.4222;0.9;betweenness;2;0.99;[]
0.7487;0.9;closeness;2;0.99;[]
0.2929;0.9;eigenvector;2;0.99;[]
0.3905;0.9;clustering_coeff;2;0.99;[]
0.4127;0.9;pagerank;2;0.99;[]
0.3148;0.9;hubs;2;0.99;[]
0.4167;0.9;authorities;2;0.99;[]
0.2434;0.9;max_clique;2;0.99;[]
0.2593;0.9;cliques_count;2;0.99;[]
0.1944;0.9;overtime;2;0.99;[]
0.5037;0.9;work_at_weekend;2;0.99;[]
0.1667;0.9;neighborhood_variability_sender;2;0.99;[]
0.4040;0.9;neighborhood_variability_recipient;2;0.99;[]
0.5889;0.9;neighborhood_variability_all;2;0.99;[]
0.0833;0.9;in_degree;3;0.7;[]
0.1000;0.9;out_degree;3;0.7;[]
0.3111;0.9;betweenness;3;0.7;[]
0.7487;0.9;closeness;3;0.7;[]
0.1364;0.9;eigenvector;3;0.7;[]
0.3905;0.9;clustering_coeff;3;0.7;[]
0.2667;0.9;pagerank;3;0.7;[]
0.2286;0.9;hubs;3;0.7;[]
0.4127;0.9;authorities;3;0.7;[]
0.3889;0.9;max_clique;3;0.7;[]
0.4127;0.9;cliques_count;3;0.7;[]
0.1111;0.9;overtime;3;0.7;[]
0.1538;0.9;work_at_weekend;3;0.7;[]
0.1667;0.9;neighborhood_variability_sender;3;0.7;[]
0.1000;0.9;neighborhood_variability_recipient;3;0.7;[]
0.1500;0.9;neighborhood_variability_all;3;0.7;[]
0.0833;0.9;in_degree;3;0.8;[]
0.1000;0.9;out_degree;3;0.8;[]
0.3111;0.9;betweenness;3;0.8;[]
0.7487;0.9;closeness;3;0.8;[]
0.1364;0.9;eigenvector;3;0.8;[]
0.3905;0.9;clustering_coeff;3;0.8;[]
0.2667;0.9;pagerank;3;0.8;[]
0.2286;0.9;hubs;3;0.8;[]
0.4127;0.9;authorities;3;0.8;[]
0.3889;0.9;max_clique;3;0.8;[]
0.4127;0.9;cliques_count;3;0.8;[]
0.1111;0.9;overtime;3;0.8;[]
0.1538;0.9;work_at_weekend;3;0.8;[]
0.1667;0.9;neighborhood_variability_sender;3;0.8;[]
0.1000;0.9;neighborhood_variability_recipient;3;0.8;[]
0.1500;0.9;neighborhood_variability_all;3;0.8;[]
0.0833;0.9;in_degree;3;0.9;[]
0.1000;0.9;out_degree;3;0.9;[]
0.3111;0.9;betweenness;3;0.9;[]
0.7487;0.9;closeness;3;0.9;[]
0.1364;0.9;eigenvector;3;0.9;[]
0.3905;0.9;clustering_coeff;3;0.9;[]
0.2667;0.9;pagerank;3;0.9;[]
0.2286;0.9;hubs;3;0.9;[]
0.4127;0.9;authorities;3;0.9;[]
0.1481;0.9;max_clique;3;0.9;[]
0.1693;0.9;cliques_count;3;0.9;[]
0.1111;0.9;overtime;3;0.9;[]
0.1538;0.9;work_at_weekend;3;0.9;[]
0.1667;0.9;neighborhood_variability_sender;3;0.9;[]
0.1000;0.9;neighborhood_variability_recipient;3;0.9;[]
0.1500;0.9;neighborhood_variability_all;3;0.9;[]
0.0833;0.9;in_degree;3;0.99;[]
0.1000;0.9;out_degree;3;0.99;[]
0.3111;0.9;betweenness;3;0.99;[]
0.7487;0.9;closeness;3;0.99;[]
