f1_score;pct;params;features;cv_scorer
0.6895;1.0;{'model__max_depth': 10.0, 'model__max_features': 3, 'model__n_estimators': 16};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6683;0.9;{'model__max_depth': 6.0, 'model__max_features': 9, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'overtime', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6164;0.8;{'model__max_depth': 2.0, 'model__max_features': 2, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'overtime', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6336;0.7;{'model__max_depth': 11.0, 'model__max_features': 8, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'authorities', 'overtime', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5848;0.6;{'model__max_depth': 3.0, 'model__max_features': 2, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'authorities', 'overtime', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.6337;0.5;{'model__max_depth': 6.0, 'model__max_features': 2, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'authorities', 'neighborhood_variability_sender'];f1_macro
0.5928;0.4;{'model__max_depth': 10.0, 'model__max_features': 3, 'model__n_estimators': 1};['in_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'neighborhood_variability_sender'];f1_macro
0.5657;0.3;{'model__max_depth': 10.0, 'model__max_features': 1, 'model__n_estimators': 200};['in_degree', 'betweenness', 'eigenvector', 'hubs', 'neighborhood_variability_sender'];f1_macro
0.5104;0.2;{'model__max_depth': 4.0, 'model__max_features': 1, 'model__n_estimators': 100};['betweenness', 'eigenvector', 'hubs'];f1_macro
0.5647;0.1;{'model__max_depth': 6.0, 'model__max_features': 1, 'model__n_estimators': 2};['eigenvector', 'hubs'];f1_macro
