f1_score;pct;params;features;cv_scorer
0.4208;1.0;{'model__max_depth': 13.0, 'model__max_features': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4156;0.9;{'model__max_depth': 7.0, 'model__max_features': 5};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3923;0.8;{'model__max_depth': 7.0, 'model__max_features': 9};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3755;0.7;{'model__max_depth': 5.0, 'model__max_features': 5};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3582;0.6;{'model__max_depth': 14.0, 'model__max_features': 2};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'max_clique', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4014;0.5;{'model__max_depth': 5.0, 'model__max_features': 2};['out_degree', 'closeness', 'eigenvector', 'hubs', 'max_clique', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.3413;0.4;{'model__max_depth': 13.0, 'model__max_features': 2};['out_degree', 'closeness', 'eigenvector', 'hubs', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.3041;0.3;{'model__max_depth': 14.0, 'model__max_features': 1};['out_degree', 'closeness', 'eigenvector', 'hubs', 'neighborhood_variability_all'];f1_macro
0.2904;0.2;{'model__max_depth': 18.0, 'model__max_features': 1};['out_degree', 'closeness', 'eigenvector'];f1_macro
0.3024;0.1;{'model__max_depth': 11.0, 'model__max_features': 1};['out_degree', 'eigenvector'];f1_macro
